name	count	percent
Google	7525	39.7%
Cloudflare	3109	16.4%
Amazon	1979	10.4%
Data Communication (CHT)	1645	8.7%
Facebook	1460	7.7%
Akamai	518	2.7%
Fastly	375	2.0%
Microsoft	346	1.8%
Taiwan Academic (TANet)	321	1.7%
Yahoo	115	0.6%
Oracle	110	0.6%
Taiwan Fixed Network	107	0.6%
New Century	93	0.5%
OVH SAS	81	0.4%
Automattic	66	0.3%
Zenlayer	60	0.3%
Incapsula	54	0.3%
Yuan-Jhen Info	44	0.2%
Magnite	40	0.2%
Datacamp	37	0.2%
Sony	36	0.2%
Byteplus	32	0.2%
COLT Technology Services Group Limited	28	0.1%
Zhejiang Taobao	27	0.1%
Gamania	23	0.1%
Internet Initiative Japan Inc.	22	0.1%
Opera Norway AS	22	0.1%
Alibaba (US) Technology Co., Ltd.	22	0.1%
AboveNet	19	0.1%
Digital United Inc.	18	0.1%
NatCoWeb Corp.	17	0.1%
Asia Pacific Broadband Fixed Lines Co., Ltd.	17	0.1%
PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD	15	0.1%
Acer e-Enabling Data Center, Inc.	15	0.1%
Tencent	14	0.1%
DigitalOcean, LLC	14	0.1%
DongFong Technology Co. Ltd.	14	0.1%
National Center for High-performance Computing	13	0.1%
internet content provider (yahoo jp)	12	0.1%
National Taiwan University	12	0.1%
Taiwan Mobile Co., Ltd.	12	0.1%
Hetzner Online GmbH	11	0.1%
SHOPEE	11	0.1%
DWINS Digital Service Corp.,	10	0.1%
Hangzhou Alibaba Advertising Co.,Ltd.	10	0.1%
Skycloud Computing co., Ltd.	10	0.1%
Beijing IQIYI Science & Technology Co., Ltd.	10	0.1%
LY Corporation	9	0.0%
Leaseweb USA, Inc.	8	0.0%
Kakao Corp	8	0.0%
GoDaddy.com, LLC	8	0.0%
LEASEWEB SINGAPORE PTE. LTD.	7	0.0%
CHINA UNICOM China169 Backbone	7	0.0%
Academia Sinica	7	0.0%
President Information Corp.	7	0.0%
Trade-Van Informaiton Services Co.	7	0.0%
Hong Da Storage Equipment Co., Ltd.	6	0.0%
SAKURA Internet Inc.	6	0.0%
Contabo Inc.	6	0.0%
Tai-Fu Cloud Co., Ltd.	6	0.0%
Reflected Networks, Inc.	6	0.0%
ZOHO	6	0.0%
104 Information Technology Co., Ltd.	5	0.0%
HIVELOCITY, Inc.	5	0.0%
BILIBILI HK LIMITED	5	0.0%
PhoenixNAP	5	0.0%
Servers.com, Inc.	5	0.0%
Wikimedia Foundation Inc.	5	0.0%
myGaru global	5	0.0%
Trellian Pty. Limited	5	0.0%
Radware Ltd	5	0.0%
Sky Digital Co., Ltd.	5	0.0%
The Constant Company, LLC	5	0.0%
Koos Broadband Telecom	5	0.0%
SYSTEX CORPORATION	5	0.0%
Netflix Streaming Services Inc.	5	0.0%
ACE	5	0.0%
Roblox	5	0.0%
SaveCom Internation Inc.	5	0.0%
