url	timestamp	results_domestic_cloud	results_domestic_direct	results_foreign_cloud	results_foreign_direct	resilience
https://0rz.tw	2026-01-05T19:56:54.988Z	0	0	1	0	0
https://100.com.tw	2026-01-05T20:09:30.930Z	1	0	0	0	1
https://100y.com.tw	2026-01-05T20:57:46.148Z	1	0	1	0	0
https://1010apothecary.com.tw	2026-01-05T20:54:16.936Z	3	1	6	0	0
https://104.com.tw	2026-01-05T19:38:42.700Z	7	3	4	0	0
https://10mart.com.tw	2026-01-05T21:10:10.805Z	11	2	2	0	0
https://1111.com.tw	2026-01-05T19:43:14.756Z	2	0	0	0	1
https://1337x.tw	2026-01-05T19:53:08.774Z	2	0	3	0	0
https://16personalities.com	2026-01-05T19:44:31.963Z	3	0	1	0	0
https://17sing.tw	2026-01-05T20:35:34.044Z	3	1	0	0	1
https://1966.gov.tw	2026-01-05T20:50:05.045Z	4	0	0	0	1
https://1976.com.tw	2026-01-05T20:19:29.744Z	4	2	3	0	0
https://1shop.tw	2026-01-05T20:17:21.381Z	3	1	1	0	0
https://1xbet.com.tw	2026-01-05T20:43:15.086Z	0	1	0	1	0
https://24h.pchome.com.tw	2026-01-05T19:45:08.410Z	5	1	20	0	0
https://28365365.tw	2026-01-05T20:46:52.010Z	0	0	0	2	0
https://3c.ltn.com.tw	2026-01-05T19:57:16.178Z	12	3	13	0	0
https://3d-movies.tw	2026-01-05T20:45:42.328Z	2	2	1	0	0
https://3jtech.com.tw	2026-01-05T20:41:31.478Z	1	1	0	0	1
https://3p.momo.com.tw	2026-01-05T20:22:49.869Z	1	0	0	0	1
https://3people.com.tw	2026-01-05T21:05:35.159Z	6	1	8	0	0
https://4gamers.com.tw	2026-01-05T19:52:15.494Z	5	1	0	0	1
https://500.gov.tw	2026-01-05T21:10:55.136Z	3	1	1	0	0
https://518.com.tw	2026-01-05T20:08:47.592Z	6	1	1	0	0
https://5432.tw	2026-01-05T20:41:26.430Z	0	0	1	0	0
https://551.com.tw	2026-01-05T20:31:54.456Z	1	0	3	0	0
https://591.com.tw	2026-01-05T19:39:29.284Z	9	6	0	0	1
https://69shu.tw	2026-01-05T20:18:57.821Z	0	0	3	0	0
https://69shuba.tw	2026-01-05T19:45:28.197Z	0	0	2	1	0
https://7-11.com.tw	2026-01-05T19:39:26.064Z	5	1	2	0	0
https://70thvictory.com.tw	2026-01-05T21:08:46.843Z	2	0	1	0	0
https://711go.7-11.com.tw	2026-01-05T21:12:16.723Z	3	1	1	0	0
https://777s.com.tw	2026-01-05T20:21:48.427Z	0	1	0	0	1
https://7car.tw	2026-01-05T20:43:03.593Z	4	2	2	0	0
https://8591.com.tw	2026-01-05T19:52:29.128Z	8	5	0	0	1
https://8891.com.tw	2026-01-05T19:41:34.726Z	11	1	0	0	1
https://91pu.com.tw	2026-01-05T20:16:51.721Z	3	1	2	0	0
https://945.com.tw	2026-01-05T20:50:08.817Z	8	1	0	0	1
https://9x9.tw	2026-01-05T20:14:59.401Z	5	4	4	0	0
https://a-team.com.tw	2026-01-05T20:59:40.807Z	1	1	0	0	1
https://a3j.com.tw	2026-01-05T21:12:52.503Z	1	0	1	0	0
https://abic.com.tw	2026-01-05T20:51:48.577Z	8	2	1	0	0
https://abit.com.tw	2026-01-05T20:55:48.423Z	1	0	2	0	0
https://addmaker.tw	2026-01-05T20:35:20.339Z	4	0	1	1	0
https://adidas.com.tw	2026-01-05T20:10:22.842Z	13	1	10	0	0
https://adl.edu.tw	2026-01-05T19:57:49.660Z	1	0	1	0	0
https://admin.1shop.tw	2026-01-05T21:03:55.504Z	4	0	3	0	0
https://adtrafficquality.google	2026-01-05T19:44:55.170Z	5	0	0	0	1
https://advantech.com.tw	2026-01-05T20:32:50.901Z	2	0	9	0	0
https://aftee.tw	2026-01-05T20:25:42.004Z	4	0	0	0	1
https://agentm.tw	2026-01-05T20:54:08.119Z	8	2	8	0	0
https://agriharvest.tw	2026-01-05T21:06:22.806Z	9	1	4	0	0
https://ahop.com.tw	2026-01-05T20:37:47.822Z	0	1	0	0	1
https://aiporn.tw	2026-01-05T22:57:20.233Z	1	0	2	0	0
https://airbnb.com.tw	2026-01-05T20:12:46.547Z	0	2	0	0	1
https://ajtravel.tw	2026-01-05T21:04:35.803Z	3	2	1	0	0
https://allmarketing.com.tw	2026-01-05T20:32:09.412Z	5	0	0	0	1
